node,node_type,is_boundary,x,y,r,theta_rad
"('v', 9, 17)",v,0,1.2017925931,-0.4310547893,1.2767590486,5.9388018533
"('v', 9, 18)",v,0,1.4262008522,-0.4250239209,1.4881848689,5.9935540369
"('v', 9, 19)",v,0,1.5791491661,-0.3852461202,1.6254619842,6.0439012379
"('v', 9, 20)",v,0,1.7033818808,-0.3396811240,1.7369205790,6.0863516182
"('v', 9, 21)",v,1,1.8256417247,-0.2992194729,1.8500000000,6.1207314335
"('v', 9, 22)",v,1,1.8306744177,-0.2667042863,1.8500000000,6.1385167278
"('v', 10, 7)",v,1,-1.8500000000,0.0000000000,1.8500000000,3.1415926536
"('v', 10, 8)",v,0,-1.4664534461,0.0154522547,1.4665348553,3.1310558835
"('v', 10, 9)",v,0,-1.1181538355,0.0127054553,1.1182260185,3.1302302559
"('v', 10, 10)",v,0,-0.7836090187,-0.0201038833,0.7838668639,3.1672425296
"('v', 10, 11)",v,0,-0.4444712670,-0.0998293549,0.4555442979,3.3625287115
"('v', 10, 12)",v,0,-0.0715662837,-0.2763772412,0.2854927537,4.4590101228
"('v', 10, 14)",v,0,0.6236602963,0.1396318097,0.6391003109,0.2202584501
"('v', 10, 15)",v,0,0.7477351661,0.0385203673,0.7487267174,0.0514705564
"('v', 10, 16)",v,0,0.9371587312,-0.0154495867,0.9372860701,6.2667012402
"('v', 10, 17)",v,0,1.1408129108,-0.0417829484,1.1415778170,6.2465760788
"('v', 10, 18)",v,0,1.3369426982,-0.0487994102,1.3378330093,6.2467007550
"('v', 10, 19)",v,0,1.5124914844,-0.0395550607,1.5130086230,6.2570390135
"('v', 10, 20)",v,0,1.6777600651,-0.0215666829,1.6778986733,6.2703315651
"('v', 10, 21)",v,1,1.8500000000,0.0000000000,1.8500000000,0.0000000000
"('v', 11, 6)",v,1,-1.8183748166,0.3406068502,1.8500000000,2.9564245043
"('v', 11, 7)",v,1,-1.8073459775,0.3949690086,1.8500000000,2.9264397987
"('v', 11, 8)",v,0,-1.4602744686,0.3878622764,1.5109065719,2.8819778194
"('v', 11, 9)",v,0,-1.1363248845,0.3844946289,1.1996125886,2.8153188294
"('v', 11, 10)",v,0,-0.8049324488,0.3608857063,0.8821307953,2.7201176709
"('v', 11, 11)",v,0,-0.4596284691,0.3206464649,0.5604217029,2.5324651295
"('v', 11, 12)",v,0,-0.0900860781,0.2842460374,0.2981799981,1.8777119025
"('v', 11, 13)",v,0,0.3225584754,0.3289621877,0.4607169315,0.7952267176
"('v', 11, 14)",v,0,0.5211370328,0.3683148181,0.6381532827,0.6152433759
"('v', 11, 15)",v,0,0.7009819112,0.3558123808,0.7861158249,0.4697022594
"('v', 11, 16)",v,0,0.8954170709,0.3337297680,0.9555874052,0.3567603825
"('v', 11, 17)",v,0,1.0927271581,0.3142893419,1.1370270149,0.2800599447
"('v', 11, 18)",v,0,1.2830881501,0.2994744981,1.3175735941,0.2292964309
"('v', 11, 19)",v,0,1.4634902970,0.2911073478,1.4921619676,0.1963502167
"('v', 11, 20)",v,0,1.6401869797,0.2904061644,1.6656977723,0.1752405940
"('v', 11, 21)",v,1,1.8256407695,0.2992253007,1.8500000000,0.1624570659
"('v', 12, 6)",v,1,-1.7324208954,0.6490129747,1.8500000000,2.7831483629
"('v', 12, 7)",v,0,-1.6115772829,0.7026021248,1.7580759610,2.7304656821
"('v', 12, 8)",v,0,-1.4143451186,0.7538292636,1.6026948159,2.6519040657
"('v', 12, 9)",v,0,-1.1673253345,0.7910706885,1.4101210128,2.5460055168
"('v', 12, 10)",v,0,-0.8501015913,0.7704438855,1.1472822217,2.4053098304
"('v', 12, 11)",v,0,-0.5164501156,0.7345066667,0.8978979704,2.1836166343
"('v', 12, 12)",v,0,-0.1827859382,0.7053925033,0.7286901145,1.8243460845
"('v', 12, 13)",v,0,0.1362560840,0.6979225571,0.7110988793,1.3779905690
"('v', 12, 14)",v,0,0.3972870128,0.6969553976,0.8022367461,1.0527035012
"('v', 12, 15)",v,0,0.6291858959,0.6895581235,0.9334694946,0.8311463172
"('v', 12, 16)",v,0,0.8487351718,0.6783533209,1.0865148963,0.6742847051
"('v', 12, 17)",v,0,1.0565500459,0.6623987412,1.2470244953,0.5599967260
"('v', 12, 18)",v,0,1.2463768969,0.6366479071,1.3995627628,0.4722493342
"('v', 12, 19)",v,0,1.4208433714,0.6085770756,1.5456914126,0.4046802112
"('v', 12, 20)",v,0,1.5875977607,0.5860002834,1.6922951817,0.3535980117
"('v', 12, 21)",v,1,1.7579623081,0.5762538707,1.8500000000,0.3167591440
"('v', 13, 6)",v,1,-1.6127993825,0.9062991514,1.8500000000,2.6296274392
"('v', 13, 7)",v,1,-1.5471501008,1.0143108821,1.8500000000,2.5612910973
"('v', 13, 8)",v,1,-1.4539842160,1.1438662071,1.8500000000,2.4750070967
"('v', 13, 9)",v,1,-1.3190567925,1.2971465523,1.8500000000,2.3645691175
"('v', 13, 10)",v,0,-0.9234469151,1.2063259573,1.5192025935,2.2241461547
"('v', 13, 11)",v,0,-0.5732947320,1.1366464154,1.2730404249,2.0379368929
"('v', 13, 12)",v,0,-0.2504166950,1.0893406148,1.1177528780,1.7967499339
"('v', 13, 13)",v,0,0.0497180456,1.0557096667,1.0568797398,1.5237366667
"('v', 13, 14)",v,0,0.3234956554,1.0366582435,1.0859602907,1.2683158051
"('v', 13, 15)",v,0,0.5786663487,1.0298544920,1.1812937898,1.0588693308
"('v', 13, 16)",v,0,0.8222235996,1.0311485620,1.3188324400,0.8976512185
"('v', 13, 17)",v,0,1.0512560474,1.0273610417,1.4699013529,0.7739030433
"('v', 13, 18)",v,0,1.2360927121,0.9778140437,1.5760854980,0.6692611947
"('v', 13, 19)",v,0,1.3914373394,0.9166098951,1.6662147428,0.5825020650
"('v', 13, 20)",v,0,1.5288357128,0.8595391037,1.7538945542,0.5121752879
"('v', 13, 21)",v,1,1.6601687957,0.8162962512,1.8500000000,0.4569813470
"('v', 13, 22)",v,1,1.6951654265,0.7408874253,1.8500000000,0.4120402899
"('v', 14, 9)",v,1,-1.1219011274,1.4709989328,1.8500000000,2.2223632215
"('v', 14, 10)",v,1,-0.9185640546,1.6058455958,1.8500000000,2.0903826637
"('v', 14, 11)",v,0,-0.5832550287,1.5003256525,1.6097091328,1.9415689533
"('v', 14, 12)",v,0,-0.2790112459,1.4497871524,1.4763908908,1.7609216497
"('v', 14, 13)",v,0,0.0085257349,1.3884273116,1.3884534878,1.5646558341
"('v', 14, 14)",v,0,0.2816681038,1.3553048576,1.3842644898,1.3658868511
"('v', 14, 15)",v,0,0.5481641749,1.3562284472,1.4628190467,1.1866893196
"('v', 14, 16)",v,0,0.8206801949,1.3926790658,1.6164996018,1.0382952574
"('v', 14, 17)",v,1,1.1219011274,1.4709989328,1.8500000000,0.9192294321
"('v', 14, 18)",v,1,1.2765320812,1.3390167458,1.8500000000,0.8092833155
"('v', 14, 19)",v,1,1.3928714145,1.2175422878,1.8500000000,0.7183336245
"('v', 14, 20)",v,1,1.4805288869,1.1092944672,1.8500000000,0.6430244826
"('v', 14, 21)",v,1,1.5471547517,1.0143037880,1.8500000000,0.5802969711
"('v', 14, 22)",v,1,1.5983998055,0.9314601773,1.8500000000,0.5276356911
"('v', 15, 10)",v,1,-0.7697929817,1.6822362394,1.8500000000,1.9999532368
"('v', 15, 11)",v,1,-0.5398140997,1.7694916608,1.8500000000,1.8668955415
"('v', 15, 12)",v,1,-0.2789443622,1.8288493767,1.8500000000,1.7221543176
"('v', 15, 13)",v,0,-0.0078888295,1.6725912140,1.6726098178,1.5755128235
"('v', 15, 14)",v,0,0.2512397754,1.6154173702,1.6348378222,1.4165061825
"('v', 15, 15)",v,0,0.5073680537,1.6215278831,1.6990512110,1.2675515926
"('v', 15, 16)",v,1,0.7697929817,1.6822362394,1.8500000000,1.1416394168
"('v', 15, 17)",v,1,0.9635700466,1.5792506974,1.8500000000,1.0229515054
"('v', 16, 12)",v,1,-0.2332782743,1.8352332949,1.8500000000,1.6972292667
"('v', 16, 13)",v,0,-0.0037696507,1.7863878481,1.7863918255,1.5729065321
"('v', 16, 14)",v,0,0.2259429131,1.7667289175,1.7811179826,1.4435990677
"('v', 16, 15)",v,1,0.4557990307,1.7929716238,1.8500000000,1.3218552112
"('v', 16, 16)",v,1,0.6591657096,1.7285833990,1.8500000000,1.2064851230
"('v', 17, 12)",v,1,-0.2003765507,1.8391164286,1.8500000000,1.6793208765
"('v', 17, 13)",v,1,0.0000000000,1.8500000000,1.8500000000,1.5707963268
"('v', 17, 14)",v,1,0.2003765507,1.8391164286,1.8500000000,1.4622717771
"('v', 17, 15)",v,1,0.3938705687,1.8075856757,1.8500000000,1.3562511957
"('v', 18, 14)",v,1,0.1755605792,1.8416510210,1.8500000000,1.4757557018
"('v', 18, 15)",v,1,0.3464821190,1.8172644665,1.8500000000,1.3823961387
