node,node_type,is_boundary,x,y,r,theta_rad
"('v', 11, 13)",v,0,-0.2645552451,-0.2157608024,0.3413827786,3.8257499378
"('v', 11, 14)",v,0,-0.0163573239,-0.4314642706,0.4317742221,4.6744959375
"('v', 11, 15)",v,0,0.1652054130,-0.1428135321,0.2183770442,5.5703559273
"('v', 11, 16)",v,0,0.3888447703,-0.0134304639,0.3890766413,6.2486596352
"('v', 11, 17)",v,0,0.6349079221,0.1501841597,0.6524288094,0.2322753975
"('v', 11, 18)",v,0,0.8837550797,0.1799132382,0.9018823727,0.2008337245
"('v', 11, 19)",v,0,1.2266053341,0.2386804512,1.2496115410,0.1921845894
"('v', 11, 20)",v,0,1.5043175997,0.2618697337,1.5269404698,0.1723516558
"('v', 11, 21)",v,1,1.8256407695,0.2992253007,1.8500000000,0.1624570659
"('v', 12, 6)",v,1,-1.7324208954,0.6490129747,1.8500000000,2.7831483629
"('v', 12, 7)",v,0,-1.2397216426,0.6768976313,1.4124801430,2.6418196718
"('v', 12, 8)",v,0,-1.1317884182,0.8369981750,1.4076615248,2.5048222697
"('v', 12, 9)",v,0,-1.0528059859,1.0229521234,1.4679344300,2.3705756478
"('v', 12, 10)",v,0,-0.8744823305,1.0025102468,1.3303180602,2.2880909072
"('v', 12, 11)",v,0,-0.6039100433,1.0263269449,1.1908208674,2.1026566964
"('v', 12, 12)",v,0,-0.5207443150,0.6102994303,0.8022717969,2.2771801585
"('v', 12, 13)",v,0,-0.2137073634,0.2419861073,0.3228437909,2.2942174623
"('v', 12, 14)",v,0,-0.0743720652,0.0434140402,0.0861161017,2.6132139277
"('v', 12, 15)",v,0,0.1422668091,0.1807569884,0.2300281153,0.9039948521
"('v', 12, 16)",v,0,0.4074060563,0.3555038001,0.5407056932,0.7174708670
"('v', 12, 17)",v,0,0.6565202072,0.4903202478,0.8194099877,0.6414802313
"('v', 12, 18)",v,0,0.8727375071,0.5563972060,1.0350114044,0.5675596586
"('v', 12, 19)",v,0,1.1026236166,0.4472572573,1.1898814622,0.3853504143
"('v', 12, 20)",v,0,1.4896767016,0.5335583451,1.5823467329,0.3439350944
"('v', 12, 21)",v,1,1.7579623081,0.5762538707,1.8500000000,0.3167591440
"('v', 13, 6)",v,1,-1.6127993825,0.9062991514,1.8500000000,2.6296274392
"('v', 13, 7)",v,1,-1.5471501008,1.0143108821,1.8500000000,2.5612910973
"('v', 13, 8)",v,1,-1.4539842160,1.1438662071,1.8500000000,2.4750070967
"('v', 13, 9)",v,1,-1.3190567925,1.2971465523,1.8500000000,2.3645691175
"('v', 13, 10)",v,0,-0.8748341653,1.2767918342,1.5477506920,2.1715076136
"('v', 13, 11)",v,0,-0.5892071488,1.3116968017,1.4379546459,1.9929802980
"('v', 13, 12)",v,0,-0.3503080370,0.8187018843,0.8904990152,1.9751057645
"('v', 13, 13)",v,0,-0.2153671452,0.5922141187,0.6301591621,1.9195920222
"('v', 13, 14)",v,0,0.0315033232,0.4932477523,0.4942527740,1.5070137942
"('v', 13, 15)",v,0,0.2827463175,0.5791800478,0.6445114490,1.1166462824
"('v', 13, 16)",v,0,0.5655093483,0.7825102964,0.9654652697,0.9450064643
"('v', 13, 17)",v,0,0.7819085802,0.9820456664,1.2553066234,0.8983743756
"('v', 13, 18)",v,0,0.9399592554,0.9977265959,1.3707595566,0.8152018776
"('v', 13, 19)",v,0,1.0796732939,0.8784683396,1.3919055446,0.6830045042
"('v', 13, 20)",v,0,1.2417357008,0.7177299315,1.4342398005,0.5240899789
"('v', 13, 21)",v,1,1.6601687957,0.8162962512,1.8500000000,0.4569813470
"('v', 13, 22)",v,1,1.6951654265,0.7408874253,1.8500000000,0.4120402899
"('v', 14, 9)",v,1,-1.1219011274,1.4709989328,1.8500000000,2.2223632215
"('v', 14, 10)",v,1,-0.9185640546,1.6058455958,1.8500000000,2.0903826637
"('v', 14, 11)",v,0,-0.4499655179,1.4100921238,1.4801448459,1.8796859538
"('v', 14, 12)",v,0,-0.3174600238,1.3083022894,1.3462673386,1.8088458112
"('v', 14, 13)",v,0,-0.1376068734,0.9525679313,0.9624558771,1.7142627069
"('v', 14, 14)",v,0,0.0896982571,0.7705862779,0.7757892685,1.4549152147
"('v', 14, 15)",v,0,0.4378922690,0.9633884018,1.0582376161,1.1441787697
"('v', 14, 16)",v,0,0.7396800279,1.2352773357,1.4398043755,1.0312620544
"('v', 14, 17)",v,1,1.1219011274,1.4709989328,1.8500000000,0.9192294321
"('v', 14, 18)",v,1,1.2765320812,1.3390167458,1.8500000000,0.8092833155
"('v', 14, 19)",v,1,1.3928714145,1.2175422878,1.8500000000,0.7183336245
"('v', 14, 20)",v,1,1.4805288869,1.1092944672,1.8500000000,0.6430244826
"('v', 14, 21)",v,1,1.5471547517,1.0143037880,1.8500000000,0.5802969711
"('v', 14, 22)",v,1,1.5983998055,0.9314601773,1.8500000000,0.5276356911
"('v', 15, 10)",v,1,-0.7697929817,1.6822362394,1.8500000000,1.9999532368
"('v', 15, 11)",v,1,-0.5398140997,1.7694916608,1.8500000000,1.8668955415
"('v', 15, 12)",v,1,-0.2789443622,1.8288493767,1.8500000000,1.7221543176
"('v', 15, 13)",v,0,-0.1388670254,1.3642389237,1.3712884057,1.6722377716
"('v', 15, 14)",v,0,0.1271462862,0.9862381295,0.9944002344,1.4425830551
"('v', 15, 15)",v,0,0.5183691766,1.2685118387,1.3703389683,1.1828608960
"('v', 15, 16)",v,1,0.7697929817,1.6822362394,1.8500000000,1.1416394168
"('v', 15, 17)",v,1,0.9635700466,1.5792506974,1.8500000000,1.0229515054
"('v', 16, 12)",v,1,-0.2332782743,1.8352332949,1.8500000000,1.6972292667
"('v', 16, 13)",v,0,0.1771987871,1.3210188523,1.3328504110,1.4374542962
"('v', 16, 14)",v,0,0.3028916564,1.2463996414,1.2826751037,1.3324041393
"('v', 16, 15)",v,1,0.4557990307,1.7929716238,1.8500000000,1.3218552112
"('v', 16, 16)",v,1,0.6591657096,1.7285833990,1.8500000000,1.2064851230
"('v', 17, 12)",v,1,-0.2003765507,1.8391164286,1.8500000000,1.6793208765
"('v', 17, 13)",v,1,0.0000000000,1.8500000000,1.8500000000,1.5707963268
"('v', 17, 14)",v,1,0.2003765507,1.8391164286,1.8500000000,1.4622717771
"('v', 17, 15)",v,1,0.3938705687,1.8075856757,1.8500000000,1.3562511957
"('v', 18, 14)",v,1,0.1755605792,1.8416510210,1.8500000000,1.4757557018
"('v', 18, 15)",v,1,0.3464821190,1.8172644665,1.8500000000,1.3823961387
