cell_id_a,cell_id_b,in_original,in_final,status
33,34,1,1,preserved
33,48,1,1,preserved
33,49,0,1,new
34,35,1,0,lost
34,49,1,1,preserved
34,63,0,1,new
35,36,1,1,preserved
35,50,1,1,preserved
35,52,0,1,new
36,37,1,1,preserved
36,51,1,0,lost
36,53,0,1,new
37,38,1,0,lost
37,39,0,1,new
37,52,1,0,lost
37,54,0,1,new
38,39,1,1,preserved
38,40,0,1,new
38,41,0,1,new
38,53,1,0,lost
39,40,1,1,preserved
39,54,1,1,preserved
39,55,0,1,new
40,41,1,1,preserved
40,55,1,1,preserved
40,68,0,1,new
40,69,0,1,new
41,42,1,1,preserved
41,56,1,1,preserved
41,69,0,1,new
42,43,1,0,lost
42,57,1,0,lost
43,44,1,1,preserved
43,58,1,1,preserved
43,59,0,1,new
44,45,1,1,preserved
44,59,1,1,preserved
44,72,0,1,new
45,73,0,1,new
46,47,1,1,preserved
46,91,0,1,new
46,119,0,1,new
47,48,1,1,preserved
47,60,1,1,preserved
48,49,1,1,preserved
48,60,0,1,new
48,61,1,1,preserved
49,50,1,0,lost
49,61,0,1,new
49,62,1,1,preserved
49,77,0,1,new
50,51,1,1,preserved
50,63,1,1,preserved
51,52,1,1,preserved
51,64,1,1,preserved
51,79,0,1,new
52,53,1,1,preserved
52,65,1,0,lost
52,96,0,1,new
53,54,1,1,preserved
53,66,1,0,lost
53,81,0,1,new
54,55,1,1,preserved
54,67,1,0,lost
54,80,0,1,new
55,56,1,0,lost
55,68,1,1,preserved
56,57,1,1,preserved
56,69,1,1,preserved
56,70,0,1,new
57,58,1,1,preserved
57,70,1,1,preserved
58,59,1,1,preserved
58,70,0,1,new
58,71,1,1,preserved
59,71,0,1,new
59,72,1,1,preserved
59,84,0,1,new
60,61,1,1,preserved
60,91,0,1,new
61,62,1,1,preserved
61,92,0,1,new
62,63,1,0,lost
62,75,0,1,new
62,77,0,1,new
62,78,0,1,new
63,64,1,1,preserved
63,75,1,0,lost
63,77,0,1,new
64,65,1,1,preserved
64,67,0,1,new
64,76,1,0,lost
65,66,1,1,preserved
65,77,1,1,preserved
65,78,0,1,new
66,67,1,1,preserved
66,78,1,1,preserved
66,95,0,1,new
67,68,1,0,lost
67,79,1,1,preserved
68,69,1,1,preserved
68,70,0,1,new
68,80,1,1,preserved
69,70,1,1,preserved
69,81,1,0,lost
70,71,1,1,preserved
70,82,1,1,preserved
71,72,1,0,lost
71,83,1,1,preserved
72,73,1,1,preserved
72,84,1,1,preserved
72,85,0,1,new
73,74,1,1,preserved
73,85,1,1,preserved
73,88,0,1,new
73,90,0,1,new
74,86,1,0,lost
74,90,0,1,new
75,76,1,1,preserved
75,78,0,1,new
75,92,0,1,new
76,77,1,0,lost
76,78,0,1,new
76,91,1,0,lost
76,92,0,1,new
76,93,0,1,new
77,78,1,1,preserved
77,92,1,0,lost
78,79,1,0,lost
78,93,1,1,preserved
78,94,0,1,new
79,80,1,0,lost
79,94,1,0,lost
79,96,0,1,new
80,81,1,1,preserved
80,95,1,0,lost
81,82,1,0,lost
81,96,1,1,preserved
82,83,1,1,preserved
82,97,1,1,preserved
83,84,1,1,preserved
83,97,0,1,new
83,98,1,1,preserved
83,99,0,1,new
84,85,1,1,preserved
84,86,0,1,new
84,99,1,1,preserved
84,102,0,1,new
85,86,1,1,preserved
85,100,1,0,lost
86,87,1,1,preserved
86,88,0,1,new
86,101,1,0,lost
87,88,1,1,preserved
87,102,1,1,preserved
87,103,0,1,new
88,89,1,1,preserved
88,103,1,1,preserved
88,104,0,1,new
89,90,1,1,preserved
89,104,1,1,preserved
89,118,0,1,new
91,92,1,1,preserved
91,105,1,1,preserved
92,93,1,1,preserved
92,106,1,1,preserved
93,94,1,1,preserved
93,107,1,0,lost
93,122,0,1,new
94,95,1,1,preserved
94,107,0,1,new
94,108,1,0,lost
95,96,1,0,lost
95,109,1,1,preserved
96,97,1,0,lost
96,110,1,0,lost
97,98,1,1,preserved
97,111,1,0,lost
98,99,1,1,preserved
98,112,1,0,lost
98,113,0,1,new
99,100,1,1,preserved
99,101,0,1,new
99,102,0,1,new
99,113,1,1,preserved
99,114,0,1,new
100,101,1,1,preserved
100,114,1,1,preserved
100,115,0,1,new
100,116,0,1,new
101,102,1,1,preserved
101,103,0,1,new
101,115,1,0,lost
102,103,1,1,preserved
102,116,1,0,lost
103,104,1,1,preserved
103,116,0,1,new
103,117,1,1,preserved
104,117,0,1,new
104,118,1,1,preserved
105,106,1,1,preserved
105,119,0,1,new
105,120,1,1,preserved
106,107,1,0,lost
106,121,1,1,preserved
106,122,0,1,new
107,108,1,1,preserved
107,109,0,1,new
107,122,1,1,preserved
107,123,0,1,new
108,109,1,1,preserved
108,123,1,1,preserved
108,125,0,1,new
109,110,1,0,lost
109,124,1,0,lost
110,111,1,0,lost
110,125,1,1,preserved
110,140,0,1,new
110,141,0,1,new
111,112,1,1,preserved
111,126,1,1,preserved
111,129,0,1,new
112,113,1,1,preserved
112,127,1,0,lost
112,129,0,1,new
113,114,1,1,preserved
113,128,1,0,lost
114,115,1,1,preserved
114,129,1,1,preserved
115,116,1,1,preserved
115,130,1,1,preserved
116,117,1,1,preserved
116,131,1,1,preserved
116,132,0,1,new
117,118,1,1,preserved
117,132,1,1,preserved
118,133,1,1,preserved
119,120,1,1,preserved
119,134,1,1,preserved
120,121,1,1,preserved
120,135,1,1,preserved
121,122,1,1,preserved
121,135,0,1,new
121,136,1,1,preserved
121,137,0,1,new
122,123,1,1,preserved
122,137,1,1,preserved
122,138,0,1,new
123,124,1,1,preserved
123,138,1,1,preserved
124,125,1,1,preserved
124,139,1,1,preserved
124,140,0,1,new
125,126,1,0,lost
125,140,1,1,preserved
126,127,1,0,lost
126,128,0,1,new
126,129,0,1,new
126,141,1,0,lost
127,128,1,1,preserved
127,141,0,1,new
127,142,1,1,preserved
128,129,1,1,preserved
128,143,1,1,preserved
129,130,1,1,preserved
129,143,0,1,new
129,144,1,1,preserved
130,131,1,1,preserved
130,144,0,1,new
130,145,1,1,preserved
130,146,0,1,new
130,147,0,1,new
131,132,1,1,preserved
131,146,1,0,lost
131,147,0,1,new
132,133,1,1,preserved
132,147,1,1,preserved
132,148,0,1,new
132,161,0,1,new
133,148,1,0,lost
133,161,0,1,new
134,135,1,1,preserved
134,149,0,1,new
135,136,1,1,preserved
136,137,1,1,preserved
136,149,0,1,new
136,150,0,1,new
137,138,1,1,preserved
137,149,1,0,lost
137,151,0,1,new
138,139,1,1,preserved
138,150,1,0,lost
138,151,0,1,new
139,140,1,1,preserved
139,151,1,1,preserved
139,152,0,1,new
140,141,1,1,preserved
140,152,1,1,preserved
140,153,0,1,new
141,142,1,1,preserved
141,153,1,1,preserved
142,143,1,1,preserved
142,153,0,1,new
142,154,1,1,preserved
143,144,1,1,preserved
143,155,1,0,lost
144,145,1,1,preserved
144,154,0,1,new
144,155,0,1,new
144,156,1,0,lost
145,146,1,1,preserved
145,155,0,1,new
145,157,1,1,preserved
146,147,1,1,preserved
146,158,1,1,preserved
147,148,1,1,preserved
147,159,1,0,lost
148,158,0,1,new
148,160,1,1,preserved
149,150,1,1,preserved
149,162,0,1,new
150,151,1,1,preserved
150,162,1,1,preserved
150,164,0,1,new
151,152,1,1,preserved
151,163,1,0,lost
151,165,0,1,new
152,153,1,1,preserved
152,154,0,1,new
152,164,1,0,lost
152,165,0,1,new
153,154,1,1,preserved
153,165,1,0,lost
154,155,1,1,preserved
154,166,1,1,preserved
155,156,1,1,preserved
155,166,0,1,new
155,167,1,1,preserved
156,157,1,0,lost
156,167,0,1,new
156,168,1,1,preserved
156,171,0,1,new
157,158,1,1,preserved
157,159,0,1,new
157,167,0,1,new
158,159,1,1,preserved
159,160,1,1,preserved
159,168,0,1,new
160,161,1,1,preserved
162,163,1,1,preserved
163,164,1,1,preserved
163,173,0,1,new
164,165,1,1,preserved
164,169,1,1,preserved
164,170,0,1,new
164,173,0,1,new
165,166,1,1,preserved
165,170,1,1,preserved
166,167,1,0,lost
166,170,0,1,new
166,171,1,1,preserved
167,168,1,1,preserved
167,172,1,0,lost
168,172,0,1,new
169,170,1,1,preserved
169,173,1,1,preserved
169,174,0,1,new
170,171,1,1,preserved
170,174,1,1,preserved
171,172,1,1,preserved
171,175,1,1,preserved
171,176,0,1,new
172,176,0,1,new
173,174,1,0,lost
174,175,1,1,preserved
175,176,1,1,preserved
