node,node_type,is_boundary,x,y,r,theta_rad
"('v', 11, 17)",v,0,1.0703952575,0.3219146354,1.1177544630,0.2921389528
"('v', 11, 18)",v,0,1.2811264715,0.2975651174,1.3152300313,0.2282216902
"('v', 11, 19)",v,0,1.4662802328,0.2850429956,1.4937293029,0.1920039550
"('v', 11, 20)",v,0,1.6398892248,0.2846583216,1.6644119170,0.1718712892
"('v', 11, 21)",v,1,1.8256407695,0.2992253007,1.8500000000,0.1624570659
"('v', 12, 6)",v,1,-1.7324208954,0.6490129747,1.8500000000,2.7831483629
"('v', 12, 7)",v,0,-1.6319867406,0.7068004381,1.7784677621,2.7328880042
"('v', 12, 8)",v,0,-1.4410299888,0.7689088870,1.6333365559,2.6514410878
"('v', 12, 9)",v,0,-1.2044415978,0.8182466291,1.4560930974,2.5448553615
"('v', 12, 10)",v,0,-0.8852114544,0.7879923154,1.1851291947,2.4142328218
"('v', 12, 11)",v,0,-0.5511694246,0.7369668353,0.9202759646,2.2129450566
"('v', 12, 12)",v,0,-0.2087177615,0.6990270414,0.7295216985,1.8609528386
"('v', 12, 13)",v,0,0.1364550692,0.7075399533,0.7205780815,1.3802769630
"('v', 12, 14)",v,0,0.3593446647,0.7277325346,0.8116176625,1.1121316812
"('v', 12, 15)",v,0,0.5868616732,0.7154274953,0.9253340610,0.8838022460
"('v', 12, 16)",v,0,0.8223678283,0.6962558321,1.0775254191,0.7025446602
"('v', 12, 17)",v,0,1.0505100474,0.6751509627,1.2487594572,0.5712183012
"('v', 12, 18)",v,0,1.2511238389,0.6406099951,1.4055931225,0.4732233629
"('v', 12, 19)",v,0,1.4265265289,0.6054430159,1.5496900281,0.4013772758
"('v', 12, 20)",v,0,1.5891819984,0.5804456640,1.6918677823,0.3501937475
"('v', 12, 21)",v,1,1.7579623081,0.5762538707,1.8500000000,0.3167591440
"('v', 13, 6)",v,1,-1.6127993825,0.9062991514,1.8500000000,2.6296274392
"('v', 13, 7)",v,1,-1.5471501008,1.0143108821,1.8500000000,2.5612910973
"('v', 13, 8)",v,1,-1.4539842160,1.1438662071,1.8500000000,2.4750070967
"('v', 13, 9)",v,1,-1.3190567925,1.2971465523,1.8500000000,2.3645691175
"('v', 13, 10)",v,0,-0.9247044801,1.2041099211,1.5182091679,2.2256911263
"('v', 13, 11)",v,0,-0.5759856188,1.1254552208,1.2642819650,2.0438235658
"('v', 13, 12)",v,0,-0.2511617020,1.0762616024,1.1051792784,1.8000582149
"('v', 13, 13)",v,0,0.0533202729,1.0434265278,1.0447880026,1.5197396095
"('v', 13, 14)",v,0,0.3140295940,1.0309475796,1.0777140149,1.2751220815
"('v', 13, 15)",v,0,0.5636282523,1.0288284220,1.1731004768,1.0696167982
"('v', 13, 16)",v,0,0.8138695771,1.0368627721,1.3181305310,0.9053092823
"('v', 13, 17)",v,0,1.0581532649,1.0418233880,1.4849526268,0.7776221019
"('v', 13, 18)",v,0,1.2463323077,0.9842808845,1.5881287985,0.6684546489
"('v', 13, 19)",v,0,1.3995200457,0.9156734090,1.6724575182,0.5793758413
"('v', 13, 20)",v,0,1.5323499317,0.8554274479,1.7549508345,0.5091516775
"('v', 13, 21)",v,1,1.6601687957,0.8162962512,1.8500000000,0.4569813470
"('v', 13, 22)",v,1,1.6951654265,0.7408874253,1.8500000000,0.4120402899
"('v', 14, 9)",v,1,-1.1219011274,1.4709989328,1.8500000000,2.2223632215
"('v', 14, 10)",v,1,-0.9185640546,1.6058455958,1.8500000000,2.0903826637
"('v', 14, 11)",v,0,-0.5769068684,1.4844825243,1.5926424268,1.9414582834
"('v', 14, 12)",v,0,-0.2732637006,1.4371376198,1.4628867312,1.7586976587
"('v', 14, 13)",v,0,0.0139581302,1.3589569756,1.3590286572,1.5605254796
"('v', 14, 14)",v,0,0.2798251862,1.3238028342,1.3530543517,1.3624829734
"('v', 14, 15)",v,0,0.5397521649,1.3320758409,1.4372746590,1.1858184468
"('v', 14, 16)",v,0,0.8113289628,1.3805434463,1.6012978777,1.0394788798
"('v', 14, 17)",v,1,1.1219011274,1.4709989328,1.8500000000,0.9192294321
"('v', 14, 18)",v,1,1.2765320812,1.3390167458,1.8500000000,0.8092833155
"('v', 14, 19)",v,1,1.3928714145,1.2175422878,1.8500000000,0.7183336245
"('v', 14, 20)",v,1,1.4805288869,1.1092944672,1.8500000000,0.6430244826
"('v', 14, 21)",v,1,1.5471547517,1.0143037880,1.8500000000,0.5802969711
"('v', 14, 22)",v,1,1.5983998055,0.9314601773,1.8500000000,0.5276356911
"('v', 15, 10)",v,1,-0.7697929817,1.6822362394,1.8500000000,1.9999532368
"('v', 15, 11)",v,1,-0.5398140997,1.7694916608,1.8500000000,1.8668955415
"('v', 15, 12)",v,1,-0.2789443622,1.8288493767,1.8500000000,1.7221543176
"('v', 15, 13)",v,0,-0.0040492376,1.6314609208,1.6314659458,1.5732782920
"('v', 15, 14)",v,0,0.2515608556,1.5732309405,1.5932163871,1.4122378088
"('v', 15, 15)",v,0,0.5042262582,1.5951286611,1.6729254512,1.2646316427
"('v', 15, 16)",v,1,0.7697929817,1.6822362394,1.8500000000,1.1416394168
"('v', 15, 17)",v,1,0.9635700466,1.5792506974,1.8500000000,1.0229515054
"('v', 16, 12)",v,1,-0.2332782743,1.8352332949,1.8500000000,1.6972292667
"('v', 16, 13)",v,0,-0.0027715740,1.7648063904,1.7648085667,1.5723667947
"('v', 16, 14)",v,0,0.2262412158,1.7425313458,1.7571569591,1.4416837768
"('v', 16, 15)",v,1,0.4557990307,1.7929716238,1.8500000000,1.3218552112
"('v', 16, 16)",v,1,0.6591657096,1.7285833990,1.8500000000,1.2064851230
"('v', 17, 12)",v,1,-0.2003765507,1.8391164286,1.8500000000,1.6793208765
"('v', 17, 13)",v,1,0.0000000000,1.8500000000,1.8500000000,1.5707963268
"('v', 17, 14)",v,1,0.2003765507,1.8391164286,1.8500000000,1.4622717771
"('v', 17, 15)",v,1,0.3938705687,1.8075856757,1.8500000000,1.3562511957
"('v', 18, 14)",v,1,0.1755605792,1.8416510210,1.8500000000,1.4757557018
"('v', 18, 15)",v,1,0.3464821190,1.8172644665,1.8500000000,1.3823961387
